,,,,,,,,,,,,,,,,,,,,,,
Janeiro,,Fevereiro,,Março,,Abril,,Maio,,Junho,,Julho,,Agosto,,Setembro,,Outubro,,Novembro,,Dezembro
"R$ 50.734,64",,"R$ 17.660,51",,"R$ 3.598,66",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00"
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1
2,"R$ 5.630,31",2,"R$ 4.190,79",2,,2,,2,,2,,2,,2,,2,,2,,2,,2
3,"R$ 2.074,56",3,,3,"R$ 2.810,36",3,,3,,3,,3,,3,,3,,3,,3,,3
4,"R$ 1.249,00",4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4
5,"R$ 2.793,62",5,"R$ 1.265,11",5,,5,,5,,5,,5,,5,,5,,5,,5,,5
6,"R$ 1.715,05",6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6
7,,7,"R$ 718,75",7,,7,,7,,7,,7,,7,,7,,7,,7,,7
8,"R$ 3.316,79",8,"R$ 854,10",8,,8,,8,,8,,8,,8,,8,,8,,8,,8
9,"R$ 3.922,16",9,"R$ 1.310,30",9,,9,,9,,9,,9,,9,,9,,9,,9,,9
10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10
11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11
12,"R$ 5.173,55",12,"R$ 788,30",12,,12,,12,,12,,12,,12,,12,,12,,12,,12
13,"R$ 918,77",13,,13,,13,,13,,13,,13,,13,,13,,13,,13,,13
14,"R$ 1.278,24",14,"R$ 841,59",14,,14,,14,,14,,14,,14,,14,,14,,14,,14
15,"R$ 1.612,43",15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15
16,"R$ 817,64",16,"R$ 770,84",16,"R$ 788,30",16,,16,,16,,16,,16,,16,,16,,16,,16
17,,17,"R$ 1.514,59",17,,17,,17,,17,,17,,17,,17,,17,,17,,17
18,"R$ 1.128,76",18,"R$ 1.451,52",18,,18,,18,,18,,18,,18,,18,,18,,18,,18
19,"R$ 4.346,67",19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19
20,,20,"R$ 1.265,11",20,,20,,20,,20,,20,,20,,20,,20,,20,,20
21,"R$ 1.383,69",21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21
22,,22,"R$ 606,16",22,,22,,22,,22,,22,,22,,22,,22,,22,,22
23,"R$ 867,08",23,"R$ 1.453,04",23,,23,,23,,23,,23,,23,,23,,23,,23,,23
24,"R$ 3.407,54",24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24
25,"R$ 3.785,74",25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25
26,"R$ 1.960,79",26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26
27,"R$ 1.312,68",27,"R$ 630,31",27,,27,,27,,27,,27,,27,,27,,27,,27,,27
28,"R$ 761,33",28,,28,,28,,28,,28,,28,,28,,28,,28,,28,,28
29,"R$ 1.278,24",29,,29,,29,,29,,29,,29,,29,,29,,29,,29,,29
30,,,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30
31,,,,31,,,,31,,,,31,,31,,,,31,,,,31
